order	exp_id	vcf_id	Group	DPI
1	ID11722	11722	HLJ	HLJ
2	ID11730	11730	HLJ	HLJ
3	ID11760	11760	HLJ	HLJ
4	ID11783	11783	HLJ	HLJ
5	ID22958	22958	GD	GD
6	ID22971	22971	GD	GD
7	ID22972	22972	GD	GD
8	ID35370	35370	GD	GD
9	IDW347	W347	F1	F1
10	IDW683	W683	Line1	D21
11	IDW455	W455	Line1	D51
12	IDW685	W685	Line2	D24
13	IDW454	W454	Line2	D51
14	IDW373	W373	Line3	D13
15	IDW468	W468	Line3	D36
16	IDW688	W688	Line4	D32
17	IDW689	W689	Line4	D48
18	IDW469	W469	Line6	D9
19	IDW375	W375	Line6	D13
20	IDW376	W376	Line7	D13
21	IDW456	W456	Line7	D51
22	IDW447	W447	Line8	D12
23	IDW448	W448	Line8	D18
24	IDW385	W385	Line8	D25
25	IDW449	W449	Line8	D30
26	IDW450	W450	Line8	D36
27	IDW451	W451	Line8	D42
28	IDW452	W452	Line8	D48
29	IDW453	W453	Line8	D51
30	IDW377	W377	Line10	D14
31	IDW457	W457	Line10	D48
32	IDW378	W378	Line11	D14
33	IDW470	W470	Line11	D18
34	IDW379	W379	Line16	D22
35	IDW458	W458	Line16	D48
36	IDW380	W380	Line19	D14
37	IDW459	W459	Line19	D48
38	IDW441	W441	Line24	D18
39	IDW381	W381	Line24	D22
40	IDW442	W442	Line24	D24
41	IDW444	W444	Line24	D36
42	IDW445	W445	Line24	D42
43	IDW446	W446	Line24	D48
44	IDW388	W388	Line30	D25
45	IDW464	W464	Line30	D48
46	IDW383	W383	Line31	D22
47	IDW465	W465	Line31	D48
48	IDW384	W384	Line32	D16
49	IDW466	W466	Line32	D48
