Hotspot Start	 Hotspot Stop	 LR 	 Region Start	 Region Stop
97546 	 99546 	 68.62407 	 96546 	 114546 
281546 	 283546 	 25.97036 	 281546 	 285546 
673546 	 675546 	 27.86695 	 673546 	 675546 
685546 	 687546 	 72.91029 	 684546 	 703546 
230056 	 232056 	 172.0431 	 227056 	 233056 
237056 	 239056 	 188.849 	 236056 	 242056 
907056 	 909056 	 21.51987 	 907056 	 909056 
976056 	 978056 	 20.74702 	 976056 	 978056 
979056 	 981056 	 59.69485 	 979056 	 981056 
989056 	 991056 	 39.38843 	 987056 	 994056 
996056 	 998056 	 38.29964 	 996056 	 998056 
1073056 	 1075056 	 160.3571 	 1073056 	 1076056 
216867 	 218867 	 60.73815 	 216867 	 218867 
221867 	 223867 	 20.34523 	 221867 	 228867 
1128717 	 1130717 	 63.78191 	 1124717 	 1131717 
1132717 	 1134717 	 26.67818 	 1132717 	 1136717 
1142717 	 1144717 	 14.19972 	 1141717 	 1144717 
1149717 	 1151717 	 29.55532 	 1149717 	 1154717 
1159717 	 1161717 	 67.94001 	 1159717 	 1162717 
1167717 	 1169717 	 40.79668 	 1165717 	 1170717 
35597 	 37597 	 46.54339 	 34597 	 38597 
949597 	 951597 	 73.68689 	 948597 	 951597 
1057597 	 1059597 	 61.24757 	 1054597 	 1060597 
1209597 	 1211597 	 30.11846 	 1208597 	 1212597 
164150 	 166150 	 24.47402 	 163150 	 166150 
183150 	 185150 	 21.78761 	 182150 	 203150 
299150 	 301150 	 71.44896 	 298150 	 302150 
369150 	 371150 	 39.24156 	 369150 	 445150 
