CHROM	POS	Crossover
1	107180	1
1	303924	7
1	698027	1
1	732150	3
1	755389	1
1	773113	1
1	807015	2
1	844126	2
1	855001	1
2	40644	1
2	98233	2
2	111770	1
2	159333	1
2	163139	1
2	173072	1
2	181477	1
2	703900	1
2	715999	1
2	746853	4
2	785378	3
2	801683	1
2	822759	2
2	867406	4
2	882846	2
2	915396	3
3	78940	1
3	89160	1
3	134908	2
3	173820	2
3	222215	1
3	240082	1
3	278239	1
3	339523	2
3	908697	1
3	933539	1
3	939294	1
3	976435	2
3	986577	1
3	1019826	1
3	1071755	1
4	256412	1
4	261851	1
4	293035	2
4	312195	1
4	396828	2
4	425449	2
4	551146	5
4	568732	1
4	582845	1
4	912899	1
4	962743	4
4	994328	1
4	1002989	1
4	1089461	3
5	627816	2
5	655171	2
5	666859	1
5	695336	1
5	737858	4
5	747783	3
5	772978	3
5	813249	1
5	948785	2
5	1009579	2
6	257738	1
6	274285	1
6	717905	1
6	857791	1
6	926355	1
6	952870	1
6	962525	1
6	1009390	1
6	1023215	2
6	1041532	1
6	1067230	1
6	1085318	1
6	1145833	1
6	1214010	3
6	1225912	1
6	1227408	1
6	1242156	2
7	60420	1
7	129380	1
7	155222	5
7	183433	1
7	200215	1
7	300162	3
7	411487	2
7	448015	1
7	469460	1
7	500630	1
7	559344	1
7	1025871	1
7	1050552	2
7	1146918	2
7	1168329	2
7	1189417	1
7	1219760	1
7	1225903	1
7	1228951	1
7	1244570	1
7	1255902	2
8	35881	1
8	132714	2
8	164962	2
8	178552	3
8	182668	1
8	203744	1
8	246363	1
8	299740	1
8	355261	1
8	370306	1
8	445672	5
8	462119	1
8	475172	1
8	575867	1
8	606856	1
8	620887	1
8	672421	1
8	979720	1
8	1001137	2
8	1005724	1
8	1040035	1
8	1070238	1
8	1083743	1
8	1150042	3
8	1232237	3
8	1252306	1
